"原始序號","項目","組別","名次","獲獎者","座位區域","座位編號","全名","座位全名"
476,"作文","教師組",1,,"D",55,"作文（教師組）第1名","D區（8排3號）"
477,"作文","教師組",2,,"D",56,"作文（教師組）第2名","D區（8排4號）"
478,"作文","教師組",3,,"D",57,"作文（教師組）第3名","D區（8排5號）"
479,"作文","教師組",4,,"D",58,"作文（教師組）第4名","D區（8排6號）"
480,"作文","教師組",5,,"D",59,"作文（教師組）第5名","D區（8排7號）"
481,"作文","教師組",6,,"D",60,"作文（教師組）第6名","D區（8排8號）"
482,"作文","社會組",1,,"D",61,"作文（社會組）第1名","D區（9排1號）"
483,"作文","社會組",2,,"D",62,"作文（社會組）第2名","D區（9排2號）"
484,"作文","社會組",3,,"D",63,"作文（社會組）第3名","D區（9排3號）"
485,"作文","社會組",4,,"D",64,"作文（社會組）第4名","D區（9排4號）"
486,"作文","社會組",5,,"D",65,"作文（社會組）第5名","D區（9排5號）"
487,"作文","社會組",6,,"D",66,"作文（社會組）第6名","D區（9排6號）"
488,"作文","教大組",1,,"D",67,"作文（教大組）第1名","D區（9排7號）"
489,"作文","教大組",2,,"D",68,"作文（教大組）第2名","D區（9排8號）"
490,"作文","教大組",3,,"D",69,"作文（教大組）第3名","D區（10排1號）"
491,"作文","教大組",4,,"D",70,"作文（教大組）第4名","D區（10排2號）"
492,"作文","教大組",5,,"D",71,"作文（教大組）第5名","D區（10排3號）"
493,"作文","教大組",6,,"D",72,"作文（教大組）第6名","D區（10排4號）"
260,"阿美族語朗讀","國小學生組",1,,"E",1,"阿美族語朗讀（國小學生組）第1名","E區（1排1號）"
261,"阿美族語朗讀","國小學生組",2,,"E",2,"阿美族語朗讀（國小學生組）第2名","E區（1排2號）"
262,"阿美族語朗讀","國小學生組",3,,"E",3,"阿美族語朗讀（國小學生組）第3名","E區（1排3號）"
263,"阿美族語朗讀","國小學生組",4,,"E",4,"阿美族語朗讀（國小學生組）第4名","E區（1排4號）"
264,"阿美族語朗讀","國小學生組",5,,"E",5,"阿美族語朗讀（國小學生組）第5名","E區（1排5號）"
265,"阿美族語朗讀","國小學生組",6,,"E",6,"阿美族語朗讀（國小學生組）第6名","E區（1排6號）"
278,"泰雅族語朗讀","國小學生組",1,,"E",7,"泰雅族語朗讀（國小學生組）第1名","E區（1排7號）"
279,"泰雅族語朗讀","國小學生組",2,,"E",8,"泰雅族語朗讀（國小學生組）第2名","E區（1排8號）"
280,"泰雅族語朗讀","國小學生組",3,,"E",9,"泰雅族語朗讀（國小學生組）第3名","E區（2排1號）"
281,"泰雅族語朗讀","國小學生組",4,,"E",10,"泰雅族語朗讀（國小學生組）第4名","E區（2排2號）"
282,"泰雅族語朗讀","國小學生組",5,,"E",11,"泰雅族語朗讀（國小學生組）第5名","E區（2排3號）"
283,"泰雅族語朗讀","國小學生組",6,,"E",12,"泰雅族語朗讀（國小學生組）第6名","E區（2排4號）"
296,"泰雅族語朗讀汶水泰雅語","國小學生組",1,,"E",13,"泰雅族語朗讀汶水泰雅語（國小學生組）第1名","E區（2排5號）"
299,"泰雅族語朗讀萬大泰雅語","國小學生組",1,,"E",14,"泰雅族語朗讀萬大泰雅語（國小學生組）第1名","E區（2排6號）"
302,"排灣族語朗讀","國小學生組",1,,"E",15,"排灣族語朗讀（國小學生組）第1名","E區（2排7號）"
303,"排灣族語朗讀","國小學生組",2,,"E",16,"排灣族語朗讀（國小學生組）第2名","E區（2排8號）"
304,"排灣族語朗讀","國小學生組",3,,"E",17,"排灣族語朗讀（國小學生組）第3名","E區（3排1號）"
305,"排灣族語朗讀","國小學生組",4,,"E",18,"排灣族語朗讀（國小學生組）第4名","E區（3排2號）"
306,"排灣族語朗讀","國小學生組",5,,"E",19,"排灣族語朗讀（國小學生組）第5名","E區（3排3號）"
307,"排灣族語朗讀","國小學生組",6,,"E",20,"排灣族語朗讀（國小學生組）第6名","E區（3排4號）"
320,"布農族語朗讀","國小學生組",1,,"E",21,"布農族語朗讀（國小學生組）第1名","E區（3排5號）"
321,"布農族語朗讀","國小學生組",2,,"E",22,"布農族語朗讀（國小學生組）第2名","E區（3排6號）"
322,"布農族語朗讀","國小學生組",3,,"E",23,"布農族語朗讀（國小學生組）第3名","E區（3排7號）"
323,"布農族語朗讀","國小學生組",4,,"E",24,"布農族語朗讀（國小學生組）第4名","E區（3排8號）"
324,"布農族語朗讀","國小學生組",5,,"E",25,"布農族語朗讀（國小學生組）第5名","E區（4排1號）"
325,"布農族語朗讀","國小學生組",6,,"E",26,"布農族語朗讀（國小學生組）第6名","E區（4排2號）"
338,"卑南族語朗讀","國小學生組",1,,"E",27,"卑南族語朗讀（國小學生組）第1名","E區（4排3號）"
339,"卑南族語朗讀","國小學生組",2,,"E",28,"卑南族語朗讀（國小學生組）第2名","E區（4排4號）"
340,"卑南族語朗讀","國小學生組",3,,"E",29,"卑南族語朗讀（國小學生組）第3名","E區（4排5號）"
341,"卑南族語朗讀","國小學生組",4,,"E",30,"卑南族語朗讀（國小學生組）第4名","E區（4排6號）"
342,"卑南族語朗讀","國小學生組",5,,"E",31,"卑南族語朗讀（國小學生組）第5名","E區（4排7號）"
352,"魯凱族語朗讀","國小學生組",1,,"E",32,"魯凱族語朗讀（國小學生組）第1名","E區（4排8號）"
353,"魯凱族語朗讀","國小學生組",2,,"E",33,"魯凱族語朗讀（國小學生組）第2名","E區（5排1號）"
354,"魯凱族語朗讀","國小學生組",3,,"E",34,"魯凱族語朗讀（國小學生組）第3名","E區（5排2號）"
355,"魯凱族語朗讀","國小學生組",4,,"E",35,"魯凱族語朗讀（國小學生組）第4名","E區（5排3號）"
356,"魯凱族語朗讀","國小學生組",5,,"E",36,"魯凱族語朗讀（國小學生組）第5名","E區（5排4號）"
367,"魯凱族語朗讀茂林魯凱語","國小學生組",1,,"E",37,"魯凱族語朗讀茂林魯凱語（國小學生組）第1名","E區（5排5號）"
369,"魯凱族語朗讀萬山魯凱語","國小學生組",1,,"E",38,"魯凱族語朗讀萬山魯凱語（國小學生組）第1名","E區（5排6號）"
373,"鄒族語朗讀","國小學生組",1,,"E",39,"鄒族語朗讀（國小學生組）第1名","E區（5排7號）"
374,"鄒族語朗讀","國小學生組",2,,"E",40,"鄒族語朗讀（國小學生組）第2名","E區（5排8號）"
375,"鄒族語朗讀","國小學生組",3,,"E",41,"鄒族語朗讀（國小學生組）第3名","E區（6排1號）"
376,"鄒族語朗讀","國小學生組",4,,"E",42,"鄒族語朗讀（國小學生組）第4名","E區（6排2號）"
382,"賽夏族語朗讀","國小學生組",1,,"E",43,"賽夏族語朗讀（國小學生組）第1名","E區（6排3號）"
383,"賽夏族語朗讀","國小學生組",2,,"E",44,"賽夏族語朗讀（國小學生組）第2名","E區（6排4號）"
384,"賽夏族語朗讀","國小學生組",3,,"E",45,"賽夏族語朗讀（國小學生組）第3名","E區（6排5號）"
385,"賽夏族語朗讀","國小學生組",4,,"E",46,"賽夏族語朗讀（國小學生組）第4名","E區（6排6號）"
394,"雅美族語朗讀","國小學生組",1,,"E",47,"雅美族語朗讀（國小學生組）第1名","E區（6排7號）"
397,"邵族語朗讀","國小學生組",1,,"E",48,"邵族語朗讀（國小學生組）第1名","E區（6排8號）"
400,"噶瑪蘭族語朗讀","國小學生組",1,,"E",49,"噶瑪蘭族語朗讀（國小學生組）第1名","E區（7排1號）"
401,"噶瑪蘭族語朗讀","國小學生組",2,,"E",50,"噶瑪蘭族語朗讀（國小學生組）第2名","E區（7排2號）"
406,"太魯閣族語朗讀","國小學生組",1,,"E",51,"太魯閣族語朗讀（國小學生組）第1名","E區（7排3號）"
407,"太魯閣族語朗讀","國小學生組",2,,"E",52,"太魯閣族語朗讀（國小學生組）第2名","E區（7排4號）"
408,"太魯閣族語朗讀","國小學生組",3,,"E",53,"太魯閣族語朗讀（國小學生組）第3名","E區（7排5號）"
409,"太魯閣族語朗讀","國小學生組",4,,"E",54,"太魯閣族語朗讀（國小學生組）第4名","E區（7排6號）"
410,"太魯閣族語朗讀","國小學生組",5,,"E",55,"太魯閣族語朗讀（國小學生組）第5名","E區（7排7號）"
411,"太魯閣族語朗讀","國小學生組",6,,"E",56,"太魯閣族語朗讀（國小學生組）第6名","E區（7排8號）"
422,"撒奇萊雅族語朗讀","國小學生組",1,,"E",57,"撒奇萊雅族語朗讀（國小學生組）第1名","E區（8排1號）"
423,"撒奇萊雅族語朗讀","國小學生組",2,,"E",58,"撒奇萊雅族語朗讀（國小學生組）第2名","E區（8排2號）"
424,"撒奇萊雅族語朗讀","國小學生組",3,,"E",59,"撒奇萊雅族語朗讀（國小學生組）第3名","E區（8排3號）"
425,"撒奇萊雅族語朗讀","國小學生組",4,,"E",60,"撒奇萊雅族語朗讀（國小學生組）第4名","E區（8排4號）"
426,"撒奇萊雅族語朗讀","國小學生組",5,,"E",61,"撒奇萊雅族語朗讀（國小學生組）第5名","E區（8排5號）"
427,"撒奇萊雅族語朗讀","國小學生組",6,,"E",62,"撒奇萊雅族語朗讀（國小學生組）第6名","E區（8排6號）"
434,"賽德克族語朗讀","國小學生組",1,,"E",63,"賽德克族語朗讀（國小學生組）第1名","E區（8排7號）"
435,"賽德克族語朗讀","國小學生組",2,,"E",64,"賽德克族語朗讀（國小學生組）第2名","E區（8排8號）"
436,"賽德克族語朗讀","國小學生組",3,,"E",65,"賽德克族語朗讀（國小學生組）第3名","E區（9排1號）"
437,"賽德克族語朗讀","國小學生組",4,,"E",66,"賽德克族語朗讀（國小學生組）第4名","E區（9排2號）"
438,"賽德克族語朗讀","國小學生組",5,,"E",67,"賽德克族語朗讀（國小學生組）第5名","E區（9排3號）"
439,"賽德克族語朗讀","國小學生組",6,,"E",68,"賽德克族語朗讀（國小學生組）第6名","E區（9排4號）"
452,"拉阿魯哇族語朗讀","國小學生組",1,,"E",69,"拉阿魯哇族語朗讀（國小學生組）第1名","E區（9排5號）"
455,"卡那卡那富族語朗讀","國小學生組",1,,"E",70,"卡那卡那富族語朗讀（國小學生組）第1名","E區（9排6號）"
266,"阿美族語朗讀","國中學生組",1,,"F",1,"阿美族語朗讀（國中學生組）第1名","F區（1排1號）"
267,"阿美族語朗讀","國中學生組",2,,"F",2,"阿美族語朗讀（國中學生組）第2名","F區（1排2號）"
268,"阿美族語朗讀","國中學生組",3,,"F",3,"阿美族語朗讀（國中學生組）第3名","F區（1排3號）"
269,"阿美族語朗讀","國中學生組",4,,"F",4,"阿美族語朗讀（國中學生組）第4名","F區（1排4號）"
270,"阿美族語朗讀","國中學生組",5,,"F",5,"阿美族語朗讀（國中學生組）第5名","F區（1排5號）"
271,"阿美族語朗讀","國中學生組",6,,"F",6,"阿美族語朗讀（國中學生組）第6名","F區（1排6號）"
284,"泰雅族語朗讀","國中學生組",1,,"F",7,"泰雅族語朗讀（國中學生組）第1名","F區（1排7號）"
285,"泰雅族語朗讀","國中學生組",2,,"F",8,"泰雅族語朗讀（國中學生組）第2名","F區（1排8號）"
286,"泰雅族語朗讀","國中學生組",3,,"F",9,"泰雅族語朗讀（國中學生組）第3名","F區（2排1號）"
287,"泰雅族語朗讀","國中學生組",4,,"F",10,"泰雅族語朗讀（國中學生組）第4名","F區（2排2號）"
288,"泰雅族語朗讀","國中學生組",5,,"F",11,"泰雅族語朗讀（國中學生組）第5名","F區（2排3號）"
289,"泰雅族語朗讀","國中學生組",6,,"F",12,"泰雅族語朗讀（國中學生組）第6名","F區（2排4號）"
297,"泰雅族語朗讀汶水泰雅語","國中學生組",1,,"F",13,"泰雅族語朗讀汶水泰雅語（國中學生組）第1名","F區（2排5號）"
300,"泰雅族語朗讀萬大泰雅語","國中學生組",1,,"F",14,"泰雅族語朗讀萬大泰雅語（國中學生組）第1名","F區（2排6號）"
308,"排灣族語朗讀","國中學生組",1,,"F",15,"排灣族語朗讀（國中學生組）第1名","F區（2排7號）"
309,"排灣族語朗讀","國中學生組",2,,"F",16,"排灣族語朗讀（國中學生組）第2名","F區（2排8號）"
310,"排灣族語朗讀","國中學生組",3,,"F",17,"排灣族語朗讀（國中學生組）第3名","F區（3排1號）"
311,"排灣族語朗讀","國中學生組",4,,"F",18,"排灣族語朗讀（國中學生組）第4名","F區（3排2號）"
312,"排灣族語朗讀","國中學生組",5,,"F",19,"排灣族語朗讀（國中學生組）第5名","F區（3排3號）"
313,"排灣族語朗讀","國中學生組",6,,"F",20,"排灣族語朗讀（國中學生組）第6名","F區（3排4號）"
326,"布農族語朗讀","國中學生組",1,,"F",21,"布農族語朗讀（國中學生組）第1名","F區（3排5號）"
327,"布農族語朗讀","國中學生組",2,,"F",22,"布農族語朗讀（國中學生組）第2名","F區（3排6號）"
328,"布農族語朗讀","國中學生組",3,,"F",23,"布農族語朗讀（國中學生組）第3名","F區（3排7號）"
329,"布農族語朗讀","國中學生組",4,,"F",24,"布農族語朗讀（國中學生組）第4名","F區（3排8號）"
330,"布農族語朗讀","國中學生組",5,,"F",25,"布農族語朗讀（國中學生組）第5名","F區（4排1號）"
331,"布農族語朗讀","國中學生組",6,,"F",26,"布農族語朗讀（國中學生組）第6名","F區（4排2號）"
343,"卑南族語朗讀","國中學生組",1,,"F",27,"卑南族語朗讀（國中學生組）第1名","F區（4排3號）"
344,"卑南族語朗讀","國中學生組",2,,"F",28,"卑南族語朗讀（國中學生組）第2名","F區（4排4號）"
345,"卑南族語朗讀","國中學生組",3,,"F",29,"卑南族語朗讀（國中學生組）第3名","F區（4排5號）"
346,"卑南族語朗讀","國中學生組",4,,"F",30,"卑南族語朗讀（國中學生組）第4名","F區（4排6號）"
347,"卑南族語朗讀","國中學生組",5,,"F",31,"卑南族語朗讀（國中學生組）第5名","F區（4排7號）"
357,"魯凱族語朗讀","國中學生組",1,,"F",32,"魯凱族語朗讀（國中學生組）第1名","F區（4排8號）"
358,"魯凱族語朗讀","國中學生組",2,,"F",33,"魯凱族語朗讀（國中學生組）第2名","F區（5排1號）"
359,"魯凱族語朗讀","國中學生組",3,,"F",34,"魯凱族語朗讀（國中學生組）第3名","F區（5排2號）"
360,"魯凱族語朗讀","國中學生組",4,,"F",35,"魯凱族語朗讀（國中學生組）第4名","F區（5排3號）"
365,"魯凱族語朗讀多納魯凱語","國中學生組",1,,"F",36,"魯凱族語朗讀多納魯凱語（國中學生組）第1名","F區（5排4號）"
368,"魯凱族語朗讀茂林魯凱語","國中學生組",1,,"F",37,"魯凱族語朗讀茂林魯凱語（國中學生組）第1名","F區（5排5號）"
370,"魯凱族語朗讀萬山魯凱語","國中學生組",1,,"F",38,"魯凱族語朗讀萬山魯凱語（國中學生組）第1名","F區（5排6號）"
371,"魯凱族語朗讀萬山魯凱語","國中學生組",2,,"F",39,"魯凱族語朗讀萬山魯凱語（國中學生組）第2名","F區（5排7號）"
377,"鄒族語朗讀","國中學生組",1,,"F",40,"鄒族語朗讀（國中學生組）第1名","F區（5排8號）"
378,"鄒族語朗讀","國中學生組",2,,"F",41,"鄒族語朗讀（國中學生組）第2名","F區（6排1號）"
379,"鄒族語朗讀","國中學生組",3,,"F",42,"鄒族語朗讀（國中學生組）第3名","F區（6排2號）"
386,"賽夏族語朗讀","國中學生組",1,,"F",43,"賽夏族語朗讀（國中學生組）第1名","F區（6排3號）"
387,"賽夏族語朗讀","國中學生組",2,,"F",44,"賽夏族語朗讀（國中學生組）第2名","F區（6排4號）"
388,"賽夏族語朗讀","國中學生組",3,,"F",45,"賽夏族語朗讀（國中學生組）第3名","F區（6排5號）"
389,"賽夏族語朗讀","國中學生組",4,,"F",46,"賽夏族語朗讀（國中學生組）第4名","F區（6排6號）"
395,"雅美族語朗讀","國中學生組",1,,"F",47,"雅美族語朗讀（國中學生組）第1名","F區（6排7號）"
396,"雅美族語朗讀","國中學生組",2,,"F",48,"雅美族語朗讀（國中學生組）第2名","F區（6排8號）"
398,"邵族語朗讀","國中學生組",1,,"F",49,"邵族語朗讀（國中學生組）第1名","F區（7排1號）"
402,"噶瑪蘭族語朗讀","國中學生組",1,,"F",50,"噶瑪蘭族語朗讀（國中學生組）第1名","F區（7排2號）"
403,"噶瑪蘭族語朗讀","國中學生組",2,,"F",51,"噶瑪蘭族語朗讀（國中學生組）第2名","F區（7排3號）"
404,"噶瑪蘭族語朗讀","國中學生組",3,,"F",52,"噶瑪蘭族語朗讀（國中學生組）第3名","F區（7排4號）"
412,"太魯閣族語朗讀","國中學生組",1,,"F",53,"太魯閣族語朗讀（國中學生組）第1名","F區（7排5號）"
413,"太魯閣族語朗讀","國中學生組",2,,"F",54,"太魯閣族語朗讀（國中學生組）第2名","F區（7排6號）"
414,"太魯閣族語朗讀","國中學生組",3,,"F",55,"太魯閣族語朗讀（國中學生組）第3名","F區（7排7號）"
415,"太魯閣族語朗讀","國中學生組",4,,"F",56,"太魯閣族語朗讀（國中學生組）第4名","F區（7排8號）"
416,"太魯閣族語朗讀","國中學生組",5,,"F",57,"太魯閣族語朗讀（國中學生組）第5名","F區（8排1號）"
417,"太魯閣族語朗讀","國中學生組",6,,"F",58,"太魯閣族語朗讀（國中學生組）第6名","F區（8排2號）"
428,"撒奇萊雅族語朗讀","國中學生組",1,,"F",59,"撒奇萊雅族語朗讀（國中學生組）第1名","F區（8排3號）"
429,"撒奇萊雅族語朗讀","國中學生組",2,,"F",60,"撒奇萊雅族語朗讀（國中學生組）第2名","F區（8排4號）"
430,"撒奇萊雅族語朗讀","國中學生組",3,,"F",61,"撒奇萊雅族語朗讀（國中學生組）第3名","F區（8排5號）"
431,"撒奇萊雅族語朗讀","國中學生組",4,,"F",62,"撒奇萊雅族語朗讀（國中學生組）第4名","F區（8排6號）"
440,"賽德克族語朗讀","國中學生組",1,,"F",63,"賽德克族語朗讀（國中學生組）第1名","F區（8排7號）"
441,"賽德克族語朗讀","國中學生組",2,,"F",64,"賽德克族語朗讀（國中學生組）第2名","F區（8排8號）"
442,"賽德克族語朗讀","國中學生組",3,,"F",65,"賽德克族語朗讀（國中學生組）第3名","F區（9排1號）"
443,"賽德克族語朗讀","國中學生組",4,,"F",66,"賽德克族語朗讀（國中學生組）第4名","F區（9排2號）"
444,"賽德克族語朗讀","國中學生組",5,,"F",67,"賽德克族語朗讀（國中學生組）第5名","F區（9排3號）"
445,"賽德克族語朗讀","國中學生組",6,,"F",68,"賽德克族語朗讀（國中學生組）第6名","F區（9排4號）"
453,"拉阿魯哇族語朗讀","國中學生組",1,,"F",69,"拉阿魯哇族語朗讀（國中學生組）第1名","F區（9排5號）"
454,"拉阿魯哇族語朗讀","國中學生組",2,,"F",70,"拉阿魯哇族語朗讀（國中學生組）第2名","F區（9排6號）"
456,"卡那卡那富族語朗讀","國中學生組",1,,"F",71,"卡那卡那富族語朗讀（國中學生組）第1名","F區（9排7號）"
272,"阿美族語朗讀","高中學生組",1,,"G",1,"阿美族語朗讀（高中學生組）第1名","G區（1排1號）"
273,"阿美族語朗讀","高中學生組",2,,"G",2,"阿美族語朗讀（高中學生組）第2名","G區（1排2號）"
274,"阿美族語朗讀","高中學生組",3,,"G",3,"阿美族語朗讀（高中學生組）第3名","G區（1排3號）"
275,"阿美族語朗讀","高中學生組",4,,"G",4,"阿美族語朗讀（高中學生組）第4名","G區（1排4號）"
276,"阿美族語朗讀","高中學生組",5,,"G",5,"阿美族語朗讀（高中學生組）第5名","G區（1排5號）"
277,"阿美族語朗讀","高中學生組",6,,"G",6,"阿美族語朗讀（高中學生組）第6名","G區（1排6號）"
290,"泰雅族語朗讀","高中學生組",1,,"G",7,"泰雅族語朗讀（高中學生組）第1名","G區（1排7號）"
291,"泰雅族語朗讀","高中學生組",2,,"G",8,"泰雅族語朗讀（高中學生組）第2名","G區（1排8號）"
292,"泰雅族語朗讀","高中學生組",3,,"G",9,"泰雅族語朗讀（高中學生組）第3名","G區（2排1號）"
293,"泰雅族語朗讀","高中學生組",4,,"G",10,"泰雅族語朗讀（高中學生組）第4名","G區（2排2號）"
294,"泰雅族語朗讀","高中學生組",5,,"G",11,"泰雅族語朗讀（高中學生組）第5名","G區（2排3號）"
295,"泰雅族語朗讀","高中學生組",6,,"G",12,"泰雅族語朗讀（高中學生組）第6名","G區（2排4號）"
298,"泰雅族語朗讀汶水泰雅語","高中學生組",1,,"G",13,"泰雅族語朗讀汶水泰雅語（高中學生組）第1名","G區（2排5號）"
301,"泰雅族語朗讀萬大泰雅語","高中學生組",1,,"G",14,"泰雅族語朗讀萬大泰雅語（高中學生組）第1名","G區（2排6號）"
314,"排灣族語朗讀","高中學生組",1,,"G",15,"排灣族語朗讀（高中學生組）第1名","G區（2排7號）"
315,"排灣族語朗讀","高中學生組",2,,"G",16,"排灣族語朗讀（高中學生組）第2名","G區（2排8號）"
316,"排灣族語朗讀","高中學生組",3,,"G",17,"排灣族語朗讀（高中學生組）第3名","G區（3排1號）"
317,"排灣族語朗讀","高中學生組",4,,"G",18,"排灣族語朗讀（高中學生組）第4名","G區（3排2號）"
318,"排灣族語朗讀","高中學生組",5,,"G",19,"排灣族語朗讀（高中學生組）第5名","G區（3排3號）"
319,"排灣族語朗讀","高中學生組",6,,"G",20,"排灣族語朗讀（高中學生組）第6名","G區（3排4號）"
332,"布農族語朗讀","高中學生組",1,,"G",21,"布農族語朗讀（高中學生組）第1名","G區（3排5號）"
333,"布農族語朗讀","高中學生組",2,,"G",22,"布農族語朗讀（高中學生組）第2名","G區（3排6號）"
334,"布農族語朗讀","高中學生組",3,,"G",23,"布農族語朗讀（高中學生組）第3名","G區（3排7號）"
335,"布農族語朗讀","高中學生組",4,,"G",24,"布農族語朗讀（高中學生組）第4名","G區（3排8號）"
336,"布農族語朗讀","高中學生組",5,,"G",25,"布農族語朗讀（高中學生組）第5名","G區（4排1號）"
337,"布農族語朗讀","高中學生組",6,,"G",26,"布農族語朗讀（高中學生組）第6名","G區（4排2號）"
348,"卑南族語朗讀","高中學生組",1,,"G",27,"卑南族語朗讀（高中學生組）第1名","G區（4排3號）"
349,"卑南族語朗讀","高中學生組",2,,"G",28,"卑南族語朗讀（高中學生組）第2名","G區（4排4號）"
350,"卑南族語朗讀","高中學生組",3,,"G",29,"卑南族語朗讀（高中學生組）第3名","G區（4排5號）"
351,"卑南族語朗讀","高中學生組",4,,"G",30,"卑南族語朗讀（高中學生組）第4名","G區（4排6號）"
361,"魯凱族語朗讀","高中學生組",1,,"G",31,"魯凱族語朗讀（高中學生組）第1名","G區（4排7號）"
362,"魯凱族語朗讀","高中學生組",2,,"G",32,"魯凱族語朗讀（高中學生組）第2名","G區（4排8號）"
363,"魯凱族語朗讀","高中學生組",3,,"G",33,"魯凱族語朗讀（高中學生組）第3名","G區（5排1號）"
364,"魯凱族語朗讀","高中學生組",4,,"G",34,"魯凱族語朗讀（高中學生組）第4名","G區（5排2號）"
366,"魯凱族語朗讀多納魯凱語","高中學生組",1,,"G",35,"魯凱族語朗讀多納魯凱語（高中學生組）第1名","G區（5排3號）"
372,"魯凱族語朗讀萬山魯凱語","高中學生組",1,,"G",36,"魯凱族語朗讀萬山魯凱語（高中學生組）第1名","G區（5排4號）"
380,"鄒族語朗讀","高中學生組",1,,"G",37,"鄒族語朗讀（高中學生組）第1名","G區（5排5號）"
381,"鄒族語朗讀","高中學生組",2,,"G",38,"鄒族語朗讀（高中學生組）第2名","G區（5排6號）"
390,"賽夏族語朗讀","高中學生組",1,,"G",39,"賽夏族語朗讀（高中學生組）第1名","G區（5排7號）"
391,"賽夏族語朗讀","高中學生組",2,,"G",40,"賽夏族語朗讀（高中學生組）第2名","G區（5排8號）"
392,"賽夏族語朗讀","高中學生組",3,,"G",41,"賽夏族語朗讀（高中學生組）第3名","G區（6排1號）"
393,"賽夏族語朗讀","高中學生組",4,,"G",42,"賽夏族語朗讀（高中學生組）第4名","G區（6排2號）"
399,"邵族語朗讀","高中學生組",1,,"G",43,"邵族語朗讀（高中學生組）第1名","G區（6排3號）"
405,"噶瑪蘭族語朗讀","高中學生組",1,,"G",44,"噶瑪蘭族語朗讀（高中學生組）第1名","G區（6排4號）"
418,"太魯閣族語朗讀","高中學生組",1,,"G",45,"太魯閣族語朗讀（高中學生組）第1名","G區（6排5號）"
419,"太魯閣族語朗讀","高中學生組",2,,"G",46,"太魯閣族語朗讀（高中學生組）第2名","G區（6排6號）"
420,"太魯閣族語朗讀","高中學生組",3,,"G",47,"太魯閣族語朗讀（高中學生組）第3名","G區（6排7號）"
421,"太魯閣族語朗讀","高中學生組",4,,"G",48,"太魯閣族語朗讀（高中學生組）第4名","G區（6排8號）"
432,"撒奇萊雅族語朗讀","高中學生組",1,,"G",49,"撒奇萊雅族語朗讀（高中學生組）第1名","G區（7排1號）"
433,"撒奇萊雅族語朗讀","高中學生組",2,,"G",50,"撒奇萊雅族語朗讀（高中學生組）第2名","G區（7排2號）"
446,"賽德克族語朗讀","高中學生組",1,,"G",51,"賽德克族語朗讀（高中學生組）第1名","G區（7排3號）"
447,"賽德克族語朗讀","高中學生組",2,,"G",52,"賽德克族語朗讀（高中學生組）第2名","G區（7排4號）"
448,"賽德克族語朗讀","高中學生組",3,,"G",53,"賽德克族語朗讀（高中學生組）第3名","G區（7排5號）"
449,"賽德克族語朗讀","高中學生組",4,,"G",54,"賽德克族語朗讀（高中學生組）第4名","G區（7排6號）"
450,"賽德克族語朗讀","高中學生組",5,,"G",55,"賽德克族語朗讀（高中學生組）第5名","G區（7排7號）"
451,"賽德克族語朗讀","高中學生組",6,,"G",56,"賽德克族語朗讀（高中學生組）第6名","G區（7排8號）"
457,"卡那卡那富族語朗讀","高中學生組",1,,"G",57,"卡那卡那富族語朗讀（高中學生組）第1名","G區（8排1號）"
494,"寫字","國小學生組",1,,"H",1,"寫字（國小學生組）第1名","H區（1排1號）"
495,"寫字","國小學生組",2,,"H",2,"寫字（國小學生組）第2名","H區（1排2號）"
496,"寫字","國小學生組",3,,"H",3,"寫字（國小學生組）第3名","H區（1排3號）"
497,"寫字","國小學生組",4,,"H",4,"寫字（國小學生組）第4名","H區（1排4號）"
498,"寫字","國小學生組",5,,"H",5,"寫字（國小學生組）第5名","H區（1排5號）"
499,"寫字","國小學生組",6,,"H",6,"寫字（國小學生組）第6名","H區（1排6號）"
500,"寫字","國中學生組",1,,"H",7,"寫字（國中學生組）第1名","H區（1排7號）"
501,"寫字","國中學生組",2,,"H",8,"寫字（國中學生組）第2名","H區（1排8號）"
502,"寫字","國中學生組",3,,"H",9,"寫字（國中學生組）第3名","H區（2排1號）"
503,"寫字","國中學生組",4,,"H",10,"寫字（國中學生組）第4名","H區（2排2號）"
504,"寫字","國中學生組",5,,"H",11,"寫字（國中學生組）第5名","H區（2排3號）"
505,"寫字","國中學生組",6,,"H",12,"寫字（國中學生組）第6名","H區（2排4號）"
506,"寫字","高中學生組",1,,"H",13,"寫字（高中學生組）第1名","H區（2排5號）"
507,"寫字","高中學生組",2,,"H",14,"寫字（高中學生組）第2名","H區（2排6號）"
508,"寫字","高中學生組",3,,"H",15,"寫字（高中學生組）第3名","H區（2排7號）"
509,"寫字","高中學生組",4,,"H",16,"寫字（高中學生組）第4名","H區（2排8號）"
510,"寫字","高中學生組",5,,"H",17,"寫字（高中學生組）第5名","H區（3排1號）"
511,"寫字","高中學生組",6,,"H",18,"寫字（高中學生組）第6名","H區（3排2號）"
512,"寫字","教師組",1,,"H",19,"寫字（教師組）第1名","H區（3排3號）"
513,"寫字","教師組",2,,"H",20,"寫字（教師組）第2名","H區（3排4號）"
514,"寫字","教師組",3,,"H",21,"寫字（教師組）第3名","H區（3排5號）"
515,"寫字","教師組",4,,"H",22,"寫字（教師組）第4名","H區（3排6號）"
516,"寫字","教師組",5,,"H",23,"寫字（教師組）第5名","H區（3排7號）"
517,"寫字","教師組",6,,"H",24,"寫字（教師組）第6名","H區（3排8號）"
518,"寫字","社會組",1,,"H",25,"寫字（社會組）第1名","H區（4排1號）"
